sku,Nombre,Descripción,Precio rebajado,Precio normal,Categorías,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Imágenes,Marca
24575,BOSS ORANGE WOMAN,BOSS ORANGE WOMAN eau de toilette vaporizador 30 ml,27,27,Perfumes>Tipo de perfume>Eau de Toilette,Tamaño,30ml,1,1,"https://i1.perfumesclub.com/grande/24575.jpg,https://i1.perfumesclub.com/grande/24575-2.jpg",Hugo Boss
188205,BOSS BOTTLED ELIXIR,BOSS BOTTLED ELIXIR eau de parfum intense vaporizador 50 ml,57.54,57.54,Perfumes>Tipo de perfume>Eau de Parfum,Tamaño,50ml,1,1,"https://i1.perfumesclub.com/grande/188205.jpg,https://i1.perfumesclub.com/grande/188205-2.jpg,https://i1.perfumesclub.com/grande/188205-3.jpg,https://i1.perfumesclub.com/grande/188205-4.jpg",Hugo Boss
188206,BOSS BOTTLED ELIXIR,BOSS BOTTLED ELIXIR eau de parfum intense vaporizador 100 ml,74.95,74.95,Perfumes>Tipo de perfume>Eau de Parfum,Tamaño,100ml,1,1,"https://i1.perfumesclub.com/grande/188206.jpg,https://i1.perfumesclub.com/grande/188206-2.jpg,https://i1.perfumesclub.com/grande/188206-3.jpg,https://i1.perfumesclub.com/grande/188206-4.jpg",Hugo Boss
14074,DEEP RED,DEEP RED eau de parfum vaporizador 50 ml,35.3,35.3,Perfumes>Tipo de perfume>Eau de Parfum,Tamaño,50ml,1,1,"https://i1.perfumesclub.com/grande/14074.jpg,https://i1.perfumesclub.com/grande/14074-2.jpg",Hugo Boss
14294,DEEP RED,DEEP RED eau de parfum vaporizador 90 ml,29.94,29.94,Perfumes>Tipo de perfume>Eau de Parfum,Tamaño,90ml,1,1,"https://i1.perfumesclub.com/grande/14294.jpg,https://i1.perfumesclub.com/grande/14294-2.jpg",Hugo Boss
164571,THE SCENT FOR HIM LE PARFUM,THE SCENT FOR HIM LE PARFUM eau de parfum vaporizador 50 ml,49.95,49.95,Perfumes>Tipo de perfume>Eau de Parfum,Tamaño,50ml,1,1,"https://i1.perfumesclub.com/grande/164571.jpg,https://i1.perfumesclub.com/grande/164571-2.jpg",Hugo Boss
164572,THE SCENT FOR HIM LE PARFUM,THE SCENT FOR HIM LE PARFUM eau de parfum vaporizador 100 ml,69.95,69.95,Perfumes>Tipo de perfume>Eau de Parfum,Tamaño,100ml,1,1,"https://i1.perfumesclub.com/grande/164572.jpg,https://i1.perfumesclub.com/grande/164572-2.jpg",Hugo Boss
202820,THE SCENT FOR HIM LE PARFUM,THE SCENT FOR HIM LE PARFUM eau de parfum vaporizador 50 ml,47.21,47.21,Perfumes>Tipo de perfume>Eau de Parfum,Tamaño,50ml,1,1,"https://i1.perfumesclub.com/grande/202820.jpg,https://i1.perfumesclub.com/grande/202820-2.jpg,https://i1.perfumesclub.com/grande/202820-3.jpg,https://i1.perfumesclub.com/grande/202820-4.jpg",Hugo Boss
202821,THE SCENT FOR HIM LE PARFUM,THE SCENT FOR HIM LE PARFUM eau de parfum vaporizador 100 ml,63.36,63.36,Perfumes>Tipo de perfume>Eau de Parfum,Tamaño,100ml,1,1,"https://i1.perfumesclub.com/grande/202821.jpg,https://i1.perfumesclub.com/grande/202821-2.jpg,https://i1.perfumesclub.com/grande/202821-3.jpg,https://i1.perfumesclub.com/grande/202821-4.jpg",Hugo Boss
89286,THE SCENT FOR HER,THE SCENT FOR HER eau de parfum vaporizador 50 ml,54.53,54.53,Perfumes>Tipo de perfume>Eau de Parfum,Tamaño,50ml,1,1,"https://i1.perfumesclub.com/grande/89286.jpg,https://i1.perfumesclub.com/grande/89286-2.jpg,https://i1.perfumesclub.com/grande/89286-3.jpg",Hugo Boss
